"행정구역별","유형별","항목","단위","2024 년",
"종로구","매입자거주지","동(호)수[동(호)수]","동(호)수","1415",
"종로구","매입자거주지","면적[천㎡]","천㎡","115",
"종로구","관할 시군구내","동(호)수[동(호)수]","동(호)수","532",
"종로구","관할 시군구내","면적[천㎡]","천㎡","46",
"종로구","관할 시도내","동(호)수[동(호)수]","동(호)수","536",
"종로구","관할 시도내","면적[천㎡]","천㎡","45",
"종로구","관할 시도외 서울","동(호)수[동(호)수]","동(호)수","0",
"종로구","관할 시도외 서울","면적[천㎡]","천㎡","0",
"종로구","관할 시도외 기타","동(호)수[동(호)수]","동(호)수","347",
"종로구","관할 시도외 기타","면적[천㎡]","천㎡","24",
"종로구","거래주체","동(호)수[동(호)수]","동(호)수","1415",
"종로구","거래주체","면적[천㎡]","천㎡","115",
"종로구","개인->개인","동(호)수[동(호)수]","동(호)수","1223",
"종로구","개인->개인","면적[천㎡]","천㎡","98",
"종로구","개인->법인","동(호)수[동(호)수]","동(호)수","41",
"종로구","개인->법인","면적[천㎡]","천㎡","6",
"종로구","개인->기타","동(호)수[동(호)수]","동(호)수","45",
"종로구","개인->기타","면적[천㎡]","천㎡","3",
"종로구","법인->개인","동(호)수[동(호)수]","동(호)수","74",
"종로구","법인->개인","면적[천㎡]","천㎡","6",
"종로구","법인->법인","동(호)수[동(호)수]","동(호)수","11",
"종로구","법인->법인","면적[천㎡]","천㎡","1",
"종로구","법인->기타","동(호)수[동(호)수]","동(호)수","1",
"종로구","법인->기타","면적[천㎡]","천㎡","0",
"종로구","기타->개인","동(호)수[동(호)수]","동(호)수","18",
"종로구","기타->개인","면적[천㎡]","천㎡","2",
"종로구","기타->법인","동(호)수[동(호)수]","동(호)수","0",
"종로구","기타->법인","면적[천㎡]","천㎡","0",
"종로구","기타->기타","동(호)수[동(호)수]","동(호)수","2",
"종로구","기타->기타","면적[천㎡]","천㎡","0",
"종로구","거래규모","동(호)수[동(호)수]","동(호)수","1415",
"종로구","거래규모","면적[천㎡]","천㎡","115",
"종로구","20㎡이하","동(호)수[동(호)수]","동(호)수","152",
"종로구","20㎡이하","면적[천㎡]","천㎡","2",
"종로구","21~40㎡","동(호)수[동(호)수]","동(호)수","201",
"종로구","21~40㎡","면적[천㎡]","천㎡","6",
"종로구","41~60㎡","동(호)수[동(호)수]","동(호)수","392",
"종로구","41~60㎡","면적[천㎡]","천㎡","21",
"종로구","61~85㎡","동(호)수[동(호)수]","동(호)수","327",
"종로구","61~85㎡","면적[천㎡]","천㎡","26",
"종로구","86~100㎡","동(호)수[동(호)수]","동(호)수","47",
"종로구","86~100㎡","면적[천㎡]","천㎡","4",
"종로구","101~135㎡","동(호)수[동(호)수]","동(호)수","105",
"종로구","101~135㎡","면적[천㎡]","천㎡","12",
"종로구","136~165㎡","동(호)수[동(호)수]","동(호)수","63",
"종로구","136~165㎡","면적[천㎡]","천㎡","9",
"종로구","166~198㎡","동(호)수[동(호)수]","동(호)수","33",
"종로구","166~198㎡","면적[천㎡]","천㎡","6",
"종로구","198㎡초과","동(호)수[동(호)수]","동(호)수","95",
"종로구","198㎡초과","면적[천㎡]","천㎡","28",
"종로구","거래원인","동(호)수[동(호)수]","동(호)수","1415",
"종로구","거래원인","면적[천㎡]","천㎡","115",
"종로구","매매","동(호)수[동(호)수]","동(호)수","1224",
"종로구","매매","면적[천㎡]","천㎡","100",
"종로구","판결","동(호)수[동(호)수]","동(호)수","35",
"종로구","판결","면적[천㎡]","천㎡","3",
"종로구","교환","동(호)수[동(호)수]","동(호)수","0",
"종로구","교환","면적[천㎡]","천㎡","0",
"종로구","증여","동(호)수[동(호)수]","동(호)수","136",
"종로구","증여","면적[천㎡]","천㎡","11",
"종로구","분양권","동(호)수[동(호)수]","동(호)수","0",
"종로구","분양권","면적[천㎡]","천㎡","0",
"종로구","분양권전매","동(호)수[동(호)수]","동(호)수","0",
"종로구","분양권전매","면적[천㎡]","천㎡","0",
"종로구","기타","동(호)수[동(호)수]","동(호)수","0",
"종로구","기타","면적[천㎡]","천㎡","0",
"종로구","기타소유권이전","동(호)수[동(호)수]","동(호)수","20",
"종로구","기타소유권이전","면적[천㎡]","천㎡","1",
"종로구","주택유형","동(호)수[동(호)수]","동(호)수","1415",
"종로구","주택유형","면적[천㎡]","천㎡","115",
"종로구","단독주택","동(호)수[동(호)수]","동(호)수","269",
"종로구","단독주택","면적[천㎡]","천㎡","26",
"종로구","다가구주택","동(호)수[동(호)수]","동(호)수","51",
"종로구","다가구주택","면적[천㎡]","천㎡","11",
"종로구","다세대주택","동(호)수[동(호)수]","동(호)수","327",
"종로구","다세대주택","면적[천㎡]","천㎡","17",
"종로구","연립주택","동(호)수[동(호)수]","동(호)수","188",
"종로구","연립주택","면적[천㎡]","천㎡","16",
"종로구","아파트","동(호)수[동(호)수]","동(호)수","580",
"종로구","아파트","면적[천㎡]","천㎡","44",
"중구","매입자거주지","동(호)수[동(호)수]","동(호)수","1565",
"중구","매입자거주지","면적[천㎡]","천㎡","109",
"중구","관할 시군구내","동(호)수[동(호)수]","동(호)수","421",
"중구","관할 시군구내","면적[천㎡]","천㎡","34",
"중구","관할 시도내","동(호)수[동(호)수]","동(호)수","779",
"중구","관할 시도내","면적[천㎡]","천㎡","54",
"중구","관할 시도외 서울","동(호)수[동(호)수]","동(호)수","0",
"중구","관할 시도외 서울","면적[천㎡]","천㎡","0",
"중구","관할 시도외 기타","동(호)수[동(호)수]","동(호)수","365",
"중구","관할 시도외 기타","면적[천㎡]","천㎡","21",
"중구","거래주체","동(호)수[동(호)수]","동(호)수","1565",
"중구","거래주체","면적[천㎡]","천㎡","109",
"중구","개인->개인","동(호)수[동(호)수]","동(호)수","1350",
"중구","개인->개인","면적[천㎡]","천㎡","94",
"중구","개인->법인","동(호)수[동(호)수]","동(호)수","73",
"중구","개인->법인","면적[천㎡]","천㎡","8",
"중구","개인->기타","동(호)수[동(호)수]","동(호)수","12",
"중구","개인->기타","면적[천㎡]","천㎡","0",
"중구","법인->개인","동(호)수[동(호)수]","동(호)수","98",
"중구","법인->개인","면적[천㎡]","천㎡","4",
"중구","법인->법인","동(호)수[동(호)수]","동(호)수","5",
"중구","법인->법인","면적[천㎡]","천㎡","1",
"중구","법인->기타","동(호)수[동(호)수]","동(호)수","0",
"중구","법인->기타","면적[천㎡]","천㎡","0",
"중구","기타->개인","동(호)수[동(호)수]","동(호)수","5",
"중구","기타->개인","면적[천㎡]","천㎡","0",
"중구","기타->법인","동(호)수[동(호)수]","동(호)수","1",
"중구","기타->법인","면적[천㎡]","천㎡","0",
"중구","기타->기타","동(호)수[동(호)수]","동(호)수","21",
"중구","기타->기타","면적[천㎡]","천㎡","1",
"중구","거래규모","동(호)수[동(호)수]","동(호)수","1565",
"중구","거래규모","면적[천㎡]","천㎡","109",
"중구","20㎡이하","동(호)수[동(호)수]","동(호)수","153",
"중구","20㎡이하","면적[천㎡]","천㎡","2",
"중구","21~40㎡","동(호)수[동(호)수]","동(호)수","327",
"중구","21~40㎡","면적[천㎡]","천㎡","9",
"중구","41~60㎡","동(호)수[동(호)수]","동(호)수","424",
"중구","41~60㎡","면적[천㎡]","천㎡","23",
"중구","61~85㎡","동(호)수[동(호)수]","동(호)수","387",
