행정구역별,유형별,항목,단위,2020 년,2021 년,2022 년,2023 년,2024 년
서울특별시,매입자거주지,동(호)수[동(호)수],동(호)수,273895,193003,97102,120328,135066
서울특별시,매입자거주지,면적[천㎡],천㎡,19372,13350,6337,7981,9222
서울특별시,관할 시군구내,동(호)수[동(호)수],동(호)수,99663,67545,33035,38689,49824
서울특별시,관할 시군구내,면적[천㎡],천㎡,7700,5094,2426,2819,3604
서울특별시,관할 시도내,동(호)수[동(호)수],동(호)수,110546,75900,38703,53657,53761
서울특별시,관할 시도내,면적[천㎡],천㎡,7504,5182,2375,3344,3560
서울특별시,관할 시도외 서울,동(호)수[동(호)수],동(호)수,0,0,0,0,0
서울특별시,관할 시도외 서울,면적[천㎡],천㎡,0,0,0,0,0
서울특별시,관할 시도외 기타,동(호)수[동(호)수],동(호)수,63686,49558,25364,27982,31481
서울특별시,관할 시도외 기타,면적[천㎡],천㎡,4168,3074,1536,1818,2058
서울특별시,거래주체,동(호)수[동(호)수],동(호)수,273895,193003,97102,120328,135066
서울특별시,거래주체,면적[천㎡],천㎡,19372,13350,6337,7981,9222
서울특별시,개인->개인,동(호)수[동(호)수],동(호)수,201305,137163,59229,70869,100879
서울특별시,개인->개인,면적[천㎡],천㎡,14381,9377,3867,4717,6845
서울특별시,개인->법인,동(호)수[동(호)수],동(호)수,10857,7869,4271,1842,1667
서울특별시,개인->법인,면적[천㎡],천㎡,1085,924,581,240,230
서울특별시,개인->기타,동(호)수[동(호)수],동(호)수,4512,5623,3013,1804,1397
서울특별시,개인->기타,면적[천㎡],천㎡,293,299,176,110,103
서울특별시,법인->개인,동(호)수[동(호)수],동(호)수,37617,27829,16617,33015,23443
서울특별시,법인->개인,면적[천㎡],천㎡,2535,1976,1010,2334,1680
서울특별시,법인->법인,동(호)수[동(호)수],동(호)수,5736,3112,1597,1442,2577
서울특별시,법인->법인,면적[천㎡],천㎡,320,183,101,80,120
서울특별시,법인->기타,동(호)수[동(호)수],동(호)수,9486,6739,8779,8481,3499
서울특별시,법인->기타,면적[천㎡],천㎡,431,239,336,330,126
서울특별시,기타->개인,동(호)수[동(호)수],동(호)수,3703,3883,2633,829,1311
서울특별시,기타->개인,면적[천㎡],천㎡,262,293,175,63,92
서울특별시,기타->법인,동(호)수[동(호)수],동(호)수,141,221,455,49,36
서울특별시,기타->법인,면적[천㎡],천㎡,24,19,62,5,7
서울특별시,기타->기타,동(호)수[동(호)수],동(호)수,538,564,508,1997,257
서울특별시,기타->기타,면적[천㎡],천㎡,41,39,29,103,18
서울특별시,거래규모,동(호)수[동(호)수],동(호)수,273895,193003,97102,120328,135066
서울특별시,거래규모,면적[천㎡],천㎡,19372,13350,6337,7981,9222
서울특별시,20㎡이하,동(호)수[동(호)수],동(호)수,11534,10900,8012,6063,6088
서울특별시,20㎡이하,면적[천㎡],천㎡,151,151,118,86,85
서울특별시,21~40㎡,동(호)수[동(호)수],동(호)수,54321,48625,27666,25415,24202
서울특별시,21~40㎡,면적[천㎡],천㎡,1729,1523,855,809,738
서울특별시,41~60㎡,동(호)수[동(호)수],동(호)수,99197,63406,33011,42366,46930
서울특별시,41~60㎡,면적[천㎡],천㎡,5199,3278,1704,2280,2518
서울특별시,61~85㎡,동(호)수[동(호)수],동(호)수,69982,43582,17342,32259,40298
서울특별시,61~85㎡,면적[천㎡],천㎡,5579,3429,1349,2611,3252
서울특별시,86~100㎡,동(호)수[동(호)수],동(호)수,4308,2657,1084,2491,2008
서울특별시,86~100㎡,면적[천㎡],천㎡,404,250,101,236,189
서울특별시,101~135㎡,동(호)수[동(호)수],동(호)수,18195,10741,3208,6839,9551
서울특별시,101~135㎡,면적[천㎡],천㎡,2101,1243,373,790,1098
서울특별시,136~165㎡,동(호)수[동(호)수],동(호)수,5448,3648,1716,1939,2533
서울특별시,136~165㎡,면적[천㎡],천㎡,815,547,258,286,376
서울특별시,166~198㎡,동(호)수[동(호)수],동(호)수,3226,2595,1236,931,1162
서울특별시,166~198㎡,면적[천㎡],천㎡,581,469,224,166,209
서울특별시,198㎡초과,동(호)수[동(호)수],동(호)수,7684,6849,3827,2025,2294
서울특별시,198㎡초과,면적[천㎡],천㎡,2813,2461,1355,717,757
서울특별시,거래원인,동(호)수[동(호)수],동(호)수,273895,193003,97102,120328,135066
서울특별시,거래원인,면적[천㎡],천㎡,19372,13350,6337,7981,9222
서울특별시,매매,동(호)수[동(호)수],동(호)수,177757,126834,56007,64361,93418
서울특별시,매매,면적[천㎡],천㎡,13281,9085,3811,4448,6620
서울특별시,판결,동(호)수[동(호)수],동(호)수,1182,908,1171,1221,879
서울특별시,판결,면적[천㎡],천㎡,149,82,116,95,60
서울특별시,교환,동(호)수[동(호)수],동(호)수,261,546,235,207,158
서울특별시,교환,면적[천㎡],천㎡,19,24,16,16,13
서울특별시,증여,동(호)수[동(호)수],동(호)수,35353,23590,14228,10653,10973
서울특별시,증여,면적[천㎡],천㎡,2417,1564,1004,614,576
서울특별시,분양권,동(호)수[동(호)수],동(호)수,,,,,0
서울특별시,분양권,면적[천㎡],천㎡,,,,,0
서울특별시,분양권전매,동(호)수[동(호)수],동(호)수,1339,452,148,829,1389
서울특별시,분양권전매,면적[천㎡],천㎡,93,32,10,59,102
서울특별시,기타,동(호)수[동(호)수],동(호)수,,,,,0
서울특별시,기타,면적[천㎡],천㎡,,,,,0
서울특별시,기타소유권이전,동(호)수[동(호)수],동(호)수,58003,40673,25313,43057,28249
서울특별시,기타소유권이전,면적[천㎡],천㎡,3413,2563,1379,2749,1851
서울특별시,주택유형,동(호)수[동(호)수],동(호)수,273895,193003,97102,120328,135066
서울특별시,주택유형,면적[천㎡],천㎡,19372,13350,6337,7981,9222
서울특별시,단독주택,동(호)수[동(호)수],동(호)수,15974,11767,6622,3573,4090
서울특별시,단독주택,면적[천㎡],천㎡,2599,1967,1150,586,618
서울특별시,다가구주택,동(호)수[동(호)수],동(호)수,5684,4829,2798,1563,1874
서울특별시,다가구주택,면적[천㎡],천㎡,1308,1143,675,348,410
서울특별시,다세대주택,동(호)수[동(호)수],동(호)수,75959,75104,41918,27993,33820
서울특별시,다세대주택,면적[천㎡],천㎡,3299,3146,1717,1152,1384
서울특별시,연립주택,동(호)수[동(호)수],동(호)수,9431,7655,4557,3277,3980
서울특별시,연립주택,면적[천㎡],천㎡,643,483,273,210,251
서울특별시,아파트,동(호)수[동(호)수],동(호)수,166847,93648,41207,83922,91302
서울특별시,아파트,면적[천㎡],천㎡,11523,6611,2521,5685,6559
종로구,매입자거주지,동(호)수[동(호)수],동(호)수,3284,2770,1398,1126,1415
종로구,매입자거주지,면적[천㎡],천㎡,263,219,116,96,115
종로구,관할 시군구내,동(호)수[동(호)수],동(호)수,1025,832,498,453,532
종로구,관할 시군구내,면적[천㎡],천㎡,91,71,47,41,46
종로구,관할 시도내,동(호)수[동(호)수],동(호)수,1491,1311,581,415,536
종로구,관할 시도내,면적[천㎡],천㎡,118,97,46,36,45
종로구,관할 시도외 서울,동(호)수[동(호)수],동(호)수,0,0,0,0,0
